Feature,Linear Regression,Ridge (α=1.0),Lasso (α=1.0),"ElasticNet (α=1.0, ρ=0.5)"
location_Sanjay nagar,43.615181255143256,22.801949733435972,0.0,0.0
location_Sarjapur,-7.692770730656239,-26.30447681902011,-0.0,-0.0
location_Sarjapur  Road,12.159443521477364,-7.142610742452315,-0.0,-0.0
location_Sarjapura - Attibele Road,-12.588806661319285,-28.983923554409035,-0.0,-0.0
location_Sector 7 HSR Layout,50.1671934011793,27.691145467640045,0.0,0.0
location_Seegehalli,-12.790581530503562,-30.165751062611303,-0.0,-0.0
location_Singasandra,-9.617098080694856,-26.83142661886104,-0.0,-0.0
location_Somasundara Palya,10.841242458637208,-7.797528778497487,-0.0,-0.0
location_Sonnenahalli,14.616307562700053,-4.083647040963566,-0.0,-0.0
location_Subramanyapura,22.08412158625022,2.8966009840358935,0.0,-0.0
location_TC Palaya,-8.450839711728445,-25.956760987970235,-0.0,-0.0
location_Talaghattapura,3.602047803593692,-14.660954290339914,-0.0,-0.0
location_Thanisandra,13.710873254058049,-5.805031309655239,-0.0,-0.0
location_Thigalarapalya,13.746145219782626,-5.946730491892265,-0.0,0.0
location_Thubarahalli,26.697595626946217,7.0166963549836066,0.0,0.0
location_Tumkur Road,29.169921279716057,9.47673186975787,0.0,0.0
location_Ulsoor,53.98076278357315,31.755917359892972,0.0,0.0
location_Uttarahalli,4.357522662467204,-14.663407532896963,-0.0,-0.0
location_Varthur,3.5852246117261246,-14.9961557568224,-0.0,-0.0
location_Vidyaranyapura,14.366901820848307,-4.458804731757869,-0.0,-0.0
location_Vijayanagar,31.24746839897942,10.300521501657546,0.0,0.0
location_Vittasandra,8.145095066154148,-10.693776699371032,-0.0,-0.0
location_Whitefield,5.567310313177985,-13.784332556283188,-0.0,-0.0
location_Yelachenahalli,19.194644783782344,-1.1036877837661603,-0.0,-0.0
location_Yelahanka,1.6637495988988782,-17.334377839345727,-0.0,-0.0
location_Yelahanka New Town,18.002567416783478,-1.0654908756251673,0.0,-0.0
